"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"127","FRENTE DE TODOS","CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,507,44,"positivo",94
"128","AVANZA LIBERTAD","CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,503,40,"positivo",19
"129","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,504,41,"positivo",17
"130","FRENTE VAMOS CON VOS","CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,508,45,"positivo",12
"131",NA,"CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,NA,NA,"blancos",5
"132",NA,"CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,NA,NA,"nulos",3
"133",NA,"CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,NA,NA,"recurridos",0
"134",NA,"CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,NA,NA,"comando",0
"135",NA,"CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,NA,NA,"impugnados",0
"136","JUNTOS","CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,506,43,"positivo",110
"137","FRENTE DE TODOS","CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,507,44,"positivo",81
"138","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6277,"Buenos Aires","ESCUELA ES N°8","14-11-2021 19:15",7,"263",2,62,"00430X","Lanús",350,10,504,41,"positivo",30
